"id","출생연도","성별","배우자월평균소득","아이양육자","직업군대분류","고용형태","최종학력","취업유무","조사연도"
4210,1980,1,0,0,2,1,4,5,2016
4215,1983,2,1,0,-1,-1,5,6,2016
4220,1978,2,1,0,-1,-1,4,6,2016
4226,1985,1,0,0,1,1,4,5,2016
4253,1982,2,1,0,-1,-1,5,6,2016
4292,1979,1,1,2,2,1,5,5,2016
4333,1984,1,1,0,1,1,4,5,2016
4342,1982,2,1,0,2,2,4,5,2016
4380,1982,2,1,0,2,1,4,5,2016
4382,1984,2,1,0,-1,-1,4,6,2016
4392,1981,1,0,0,1,1,4,5,2016
4420,1981,2,1,0,-1,-1,4,6,2016
4421,1981,2,1,0,-1,-1,4,6,2016
4455,1981,1,0,0,0,1,4,5,2016
4457,1987,2,1,0,-1,-1,5,6,2016
4464,1981,2,1,0,-1,-1,4,6,2016
4465,1984,1,0,0,0,2,4,5,2016
4478,1982,2,1,0,-1,-1,4,6,2016
4492,1981,1,0,0,2,1,4,5,2016
4496,1982,1,0,0,0,1,4,5,2016
4506,1979,1,0,0,0,1,4,5,2016
4524,1980,1,1,1,1,1,4,5,2016
4531,1982,1,1,0,1,1,5,5,2016
4602,1980,2,1,0,-1,-1,4,6,2016
4606,1983,2,1,0,0,1,4,5,2016
4626,1982,2,1,0,-1,-1,5,6,2016
4643,1983,2,1,0,0,1,4,5,2016
4760,1983,1,0,0,2,1,4,5,2016
4770,1980,2,1,0,0,1,4,5,2016
4799,1987,2,1,1,-1,-1,4,6,2016
4822,1980,2,1,1,-1,-1,4,6,2016
4879,1982,1,0,0,0,1,4,5,2016
4909,1980,2,1,0,-1,-1,4,6,2016
4910,1981,2,1,0,-1,-1,4,6,2016
4959,1982,2,1,0,-1,-1,4,6,2016
5034,1982,2,1,1,2,1,4,5,2016
5051,1980,2,1,0,-1,-1,5,6,2016
5098,1978,1,0,0,0,1,4,5,2016
5112,1978,2,0,0,-1,-1,4,6,2016
5113,1978,1,1,0,1,1,5,5,2016
5120,1980,1,0,0,0,1,4,5,2016
5126,1981,1,0,0,0,1,4,5,2016
5128,1983,2,1,0,-1,-1,4,6,2016
5129,1981,1,1,0,1,2,4,5,2016
5137,1984,2,1,0,0,1,4,5,2016
5138,1982,2,1,0,2,1,5,5,2016
5140,1978,2,0,0,-1,-1,5,6,2016
5150,1984,2,1,2,2,1,4,5,2016
5180,1988,2,1,0,-1,-1,4,6,2016
5181,1979,1,0,0,0,2,4,5,2016
5214,1978,1,0,0,0,1,4,5,2016
5227,1979,1,0,0,2,1,4,5,2016
5230,1983,2,1,0,-1,-1,4,6,2016
5266,1980,1,0,0,2,1,4,5,2016
5308,1986,1,0,0,0,1,4,5,2016
5312,1983,1,0,0,1,1,4,5,2016
5367,1984,2,1,0,2,1,4,5,2016
5410,1985,1,1,1,0,1,4,5,2016
5438,1985,2,1,0,-1,-1,4,6,2016
5454,1982,2,1,0,-1,-1,4,6,2016
5455,1981,1,0,0,0,1,4,5,2016
5477,1980,2,1,0,-1,-1,4,6,2016
5478,1983,2,1,0,-1,-1,4,6,2016
5531,1986,2,1,0,-1,-1,4,6,2016
5540,1983,1,0,1,2,1,4,5,2016
5551,1990,2,0,0,-1,-1,4,6,2016
5573,1980,1,0,0,0,1,4,5,2016
5619,1982,1,0,0,0,1,4,5,2016
5678,1978,1,1,0,2,1,4,5,2016
5679,1978,2,1,0,2,1,4,5,2016
5682,1982,1,0,0,2,1,4,5,2016
5710,1981,1,1,0,2,1,5,5,2016
5719,1981,2,1,2,2,1,4,5,2016
5723,1985,2,1,1,0,1,4,5,2016
5732,1979,1,0,0,2,1,5,5,2016
5743,1985,2,1,0,-1,-1,4,6,2016
5786,1980,2,1,0,2,1,4,5,2016
5796,1985,1,0,0,2,1,4,5,2016
5895,1983,1,0,0,1,1,5,5,2016
5905,1980,1,0,0,1,1,4,5,2016
5945,1985,2,1,1,2,1,4,5,2016
5948,1988,1,1,0,0,1,4,5,2016
5969,1984,2,1,0,-1,-1,4,6,2016
5978,1985,1,0,1,0,1,4,5,2016
5979,1980,2,1,0,2,2,5,5,2016
5980,1978,2,1,0,0,1,5,5,2016
5999,1987,2,0,0,1,1,4,5,2016
6002,1988,2,1,1,2,2,5,5,2016
6042,1978,2,1,0,2,1,4,5,2016
6069,1978,1,1,1,0,1,4,5,2016
6087,1989,2,1,1,2,1,4,5,2016
6093,1983,1,0,0,0,1,4,5,2016
6104,1981,1,0,0,2,1,4,5,2016
6118,1981,1,0,1,0,1,4,5,2016
6150,1981,2,1,2,0,1,4,5,2016
6155,1984,1,0,0,1,1,4,5,2016
6161,1988,2,1,1,1,1,4,5,2016
6165,1983,1,1,0,0,1,4,5,2016
6168,1986,2,1,0,2,1,4,5,2016
6176,1984,2,1,1,-1,-1,4,6,2016
6227,1986,2,1,0,-1,-1,4,6,2016
6235,1982,1,0,0,2,1,4,5,2016
6248,1983,1,0,0,0,1,4,5,2016
6252,1984,1,1,0,0,1,4,5,2016
6256,1988,2,0,0,-1,-1,4,6,2016
6257,1981,1,0,0,1,1,4,5,2016
6265,1981,2,1,0,-1,-1,4,6,2016
6276,1990,2,1,0,-1,-1,4,6,2016
6279,1980,1,0,0,2,1,4,5,2016
6301,1983,2,1,0,2,1,5,5,2016
6313,1983,2,1,0,-1,-1,4,6,2016
6320,1986,2,1,0,-1,-1,4,6,2016
6342,1979,2,1,0,-1,-1,4,6,2016
6437,1982,1,0,0,0,1,4,5,2016
6463,1985,1,0,0,1,1,4,5,2016
6467,1980,1,0,0,0,1,4,5,2016
6496,1989,1,0,1,2,1,4,5,2016
6536,1981,2,1,0,-1,-1,4,6,2016
6566,1979,1,0,0,0,1,4,5,2016
6574,1978,2,1,1,0,1,4,5,2016
6581,1984,1,0,0,2,1,4,5,2016
6591,1983,2,1,0,-1,-1,5,6,2016
6596,1980,2,1,0,-1,-1,4,6,2016
6609,1985,2,0,0,-1,-1,5,6,2016
6615,1982,2,1,0,0,1,4,5,2016
6619,1982,1,0,0,2,1,4,5,2016
6630,1984,1,1,0,2,1,4,5,2016
6646,1980,1,0,0,2,1,4,5,2016
6654,1979,1,0,0,0,1,4,5,2016
6681,1984,2,1,0,0,1,4,5,2016
6713,1981,1,0,0,0,1,4,5,2016
6731,1983,2,1,0,2,1,5,5,2016
6757,1983,1,1,0,2,1,5,5,2016
6764,1982,1,0,0,1,1,4,5,2016
6773,1982,1,0,0,0,1,4,5,2016
6789,1979,2,1,0,-1,-1,4,6,2016
6793,1982,2,1,0,2,1,4,5,2016
6794,1978,2,1,0,0,1,4,5,2016
6804,1978,1,1,0,1,1,4,5,2016
6827,1978,1,1,0,0,1,4,5,2016
6838,1979,1,0,0,2,1,4,5,2016
6875,1983,1,0,0,0,1,4,5,2016
6877,1979,1,0,0,0,1,4,5,2016
6903,1980,1,1,0,0,1,4,5,2016
6910,1988,1,0,0,2,1,4,5,2016
6954,1980,1,0,1,2,1,4,5,2016
6959,1982,1,0,0,1,1,4,5,2016
7027,1982,2,1,0,-1,-1,4,6,2016
7037,1982,2,1,1,1,1,4,5,2016
7041,1982,1,0,0,1,1,4,5,2016
7042,1983,2,1,0,-1,-1,4,6,2016
7069,1987,2,0,0,2,1,5,5,2016
7074,1985,2,0,0,2,2,4,5,2016
7088,1980,1,1,1,1,1,5,5,2016
7102,1982,1,0,0,1,1,4,5,2016
7117,1983,1,0,0,0,1,4,5,2016
7150,1981,1,0,0,0,1,4,5,2016
7151,1980,1,0,0,2,1,4,5,2016
7155,1985,1,0,0,0,1,4,5,2016
7166,1982,2,1,0,2,1,4,5,2016
7172,1980,1,0,0,1,1,4,5,2016
7183,1980,1,0,0,1,1,5,5,2016
7192,1980,2,1,0,0,1,4,5,2016
7201,1986,2,1,0,-1,-1,4,6,2016
7232,1980,1,0,0,2,1,4,5,2016
7236,1979,2,1,0,2,1,4,5,2016
7257,1985,2,1,1,1,1,4,5,2016
7268,1983,2,1,0,-1,-1,4,6,2016
7273,1983,2,1,0,-1,-1,4,6,2016
7282,1983,1,0,0,0,1,4,5,2016
7284,1980,1,1,1,0,1,4,5,2016
7307,1981,1,0,1,1,2,4,5,2016
7324,1983,1,1,0,0,1,4,5,2016
7332,1978,2,1,0,2,1,4,5,2016
7345,1982,2,1,1,2,1,4,5,2016
7353,1982,1,1,0,0,1,4,5,2016
7354,1979,1,0,0,2,1,4,5,2016
7367,1979,1,0,0,2,1,4,5,2016
7393,1982,1,0,0,0,1,4,5,2016
7417,1983,2,1,0,-1,-1,4,6,2016
7418,1982,2,1,0,-1,-1,4,6,2016
7435,1985,2,1,0,-1,-1,4,6,2016
7436,1981,1,0,0,2,1,4,5,2016
7442,1981,2,1,0,-1,-1,4,6,2016
7449,1981,1,0,0,0,1,4,5,2016
7469,1984,2,1,0,1,1,4,5,2016
7474,1983,1,0,0,1,1,4,5,2016
7488,1980,1,0,0,1,1,4,5,2016
7490,1983,1,1,1,2,2,4,5,2016
7509,1981,2,1,0,-1,-1,4,6,2016
7517,1982,2,1,0,-1,-1,4,6,2016
7518,1983,1,0,0,1,1,4,5,2016
7524,1981,1,1,1,1,1,4,5,2016
7554,1983,2,0,0,-1,-1,4,6,2016
7555,1984,2,1,1,0,1,5,5,2016
7578,1982,1,0,0,0,2,4,5,2016
7579,1979,2,1,0,-1,-1,5,6,2016
7591,1980,2,1,1,-1,-1,4,6,2016
7594,1983,1,1,0,0,1,4,5,2016
7596,1981,1,0,0,0,1,4,5,2016
7627,1984,2,1,0,-1,-1,4,6,2016
7642,1985,1,1,0,0,1,4,5,2016
7643,1987,2,1,0,-1,-1,4,6,2016
7668,1987,2,0,0,-1,-1,4,6,2016
7671,1981,2,1,0,0,2,4,5,2016
7673,1980,1,0,0,0,1,4,5,2016
7677,1981,1,0,0,2,1,4,5,2016
7684,1982,1,0,0,0,1,4,5,2016
7692,1982,1,0,0,2,2,4,5,2016
7701,1982,1,0,0,1,1,5,5,2016
7712,1980,2,1,0,-1,-1,4,6,2016
7717,1982,2,1,0,-1,-1,4,6,2016
7720,1984,2,1,0,-1,-1,4,6,2016
7732,1980,2,1,0,-1,-1,4,6,2016
7733,1978,2,0,0,-1,-1,4,6,2016
7741,1981,2,1,0,-1,-1,4,6,2016
7744,1982,1,1,1,2,1,4,5,2016
7754,1979,2,1,0,-1,-1,4,6,2016
7755,1983,1,0,0,1,1,4,5,2016
7776,1980,2,0,1,-1,-1,4,6,2016
7788,1984,2,1,2,-1,-1,4,6,2016
7790,1980,2,1,0,-1,-1,4,6,2016
7795,1982,2,1,0,-1,-1,4,6,2016
7832,1980,1,0,0,0,1,4,5,2016
7844,1984,2,0,0,-1,-1,4,6,2016
7876,1979,2,1,0,-1,-1,4,6,2016
7878,1983,2,1,0,-1,-1,4,6,2016
7893,1982,1,0,1,1,2,4,5,2016
7939,1981,2,1,0,-1,-1,4,6,2016
7940,1983,2,1,1,-1,-1,4,6,2016
7986,1978,1,0,0,0,1,4,5,2016
7996,1986,2,1,0,2,1,4,5,2016
8000,1983,2,1,0,-1,-1,4,6,2016
8015,1979,2,1,1,0,1,4,5,2016
8038,1979,1,0,0,2,2,5,5,2016
8044,1979,2,1,0,-1,-1,4,6,2016
8048,1980,1,0,0,0,1,4,5,2016
8052,1981,1,0,0,0,1,4,5,2016
8058,1983,2,1,1,-1,-1,4,6,2016
8064,1982,1,0,0,1,1,4,5,2016
8067,1983,1,0,0,0,1,4,5,2016
8075,1985,2,0,2,-1,-1,4,6,2016
8077,1988,2,0,0,-1,-1,4,6,2016
8129,1983,2,1,0,-1,-1,4,6,2016
8149,1983,1,0,1,0,1,4,5,2016
8169,1981,1,0,0,0,1,4,5,2016
8170,1981,1,0,0,1,1,5,5,2016
8176,1981,1,1,0,2,1,4,5,2016
8189,1982,2,0,0,-1,-1,4,6,2016
8191,1978,1,1,1,0,1,4,5,2016
8200,1987,2,1,0,-1,-1,4,6,2016
8214,1981,1,0,0,0,1,4,5,2016
8217,1980,1,0,0,2,1,5,5,2016
8218,1981,2,1,2,0,1,4,5,2016
8269,1982,1,1,1,2,1,4,5,2016
8270,1982,2,1,1,2,1,4,5,2016
8278,1981,1,1,1,0,1,4,5,2016
8311,1982,1,0,0,0,1,4,5,2016
8333,1983,2,1,0,-1,-1,4,6,2016
8352,1982,2,1,0,-1,-1,4,6,2016
8358,1984,1,0,0,0,1,4,5,2016
8362,1985,1,1,0,1,1,4,5,2016
8368,1985,2,1,0,-1,-1,4,6,2016
8370,1984,1,1,0,1,1,4,5,2016
8372,1987,2,1,0,-1,-1,4,6,2016
8390,1985,2,1,0,-1,-1,5,6,2016
8406,1983,1,0,0,2,1,4,5,2016
8418,1985,2,1,1,2,1,4,5,2016
8425,1980,1,0,0,2,1,5,5,2016
8429,1984,2,1,0,-1,-1,4,6,2016
8444,1984,2,1,0,-1,-1,5,6,2016
8450,1982,2,0,0,-1,-1,4,6,2016
8467,1983,2,1,0,-1,-1,4,6,2016
8472,1983,1,0,0,2,1,4,5,2016
8482,1981,1,1,1,0,1,5,5,2016
8496,1985,2,1,0,-1,-1,5,6,2016
8537,1988,1,0,0,0,1,4,5,2016
8538,1982,2,1,0,-1,-1,4,6,2016
8547,1981,1,1,1,0,1,4,5,2016
8562,1983,1,0,0,0,1,5,5,2016
8568,1981,2,1,0,-1,-1,4,6,2016
8572,1979,1,0,0,2,1,4,5,2016
8584,1978,2,2,1,-1,-1,4,6,2016
