"","y14b225","w14edu","sampid","y14g101","y14a034","y14a065","y14a080","y14b308","y14b156z","y14b161","w14type","y14f310","y14b22","y14g7"
"1176",NA,NA,3319,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"1177",300,4,3321,1,NA,NA,NA,1,8,1,5,1,110132.7,384142319
"1178",NA,4,3323,2,NA,NA,NA,NA,NA,NA,6,1,110132.7,384142319
"1179",5000,4,3326,2,NA,NA,NA,1,2,1,5,1,110132.7,384142319
"1180",4500,4,3332,2,NA,NA,NA,1,2,1,5,1,110132.7,384142319
"1181",200,4,3335,1,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1182",300,4,3340,2,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1183",5000,4,3341,2,NA,NA,NA,1,2,1,5,1,110132.7,384142319
"1184",4000,4,3343,2,NA,NA,NA,1,1,1,5,1,110132.7,384142319
"1185",3000,4,3344,2,NA,NA,NA,1,3,1,5,1,110132.7,384142319
"1186",4500,4,3345,2,NA,NA,NA,1,0,1,5,1,110132.7,384142319
"1187",NA,NA,3348,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"1188",NA,4,3353,2,NA,NA,NA,NA,NA,NA,6,1,110132.7,384142319
"1189",5400,4,3357,1,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1190",450,4,3358,1,NA,NA,NA,1,0,1,5,3,110132.7,384142319
"1191",NA,4,3361,2,NA,NA,NA,NA,NA,NA,6,1,110132.7,384142319
"1192",250,4,3367,1,NA,NA,NA,1,1,1,5,5,110132.7,384142319
"1193",0,4,3370,1,NA,NA,NA,NA,6,6,5,2,110132.7,384142319
"1194",300,4,3371,2,NA,NA,NA,1,0,1,5,2,110132.7,384142319
"1195",NA,4,3375,1,NA,NA,NA,NA,NA,NA,6,6,110132.7,384142319
"1196",NA,5,3376,2,NA,NA,NA,NA,NA,NA,6,1,110132.7,384142319
"1197",NA,4,3377,1,NA,NA,NA,NA,NA,NA,6,2,110132.7,384142319
"1198",200,4,3378,1,NA,NA,NA,1,6,1,5,2,110132.7,384142319
"1199",NA,NA,3379,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
"1200",NA,NA,3381,NA,NA,NA,NA,NA,NA,NA,NA,NA,110132.7,384142319
