"","y13b224","y13b225","w13edu","sampid","y13g101","y13a034","y13a065","y13a080","y13b308","y13b156z","y13b161","w13type","y13f310","y13g500","y13b22","y13g7"
"3183",NA,NA,4,9202,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,3000
"3184",NA,NA,4,9204,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,3000
"3185",2,250,4,9207,1,NA,NA,NA,1,0,1,5,1,2,32,2400
"3186",2,230,4,9211,1,NA,NA,NA,1,0,1,5,2,2,40,2200
"3187",NA,NA,4,9212,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,2500
"3188",1,3100,4,9216,1,NA,NA,NA,1,0,1,5,2,2,45,3000
"3189",NA,NA,4,9219,2,NA,NA,NA,NA,NA,NA,6,2,1,NA,7000
"3190",2,300,4,9220,2,NA,NA,NA,1,2,1,5,2,1,44,3000
"3191",1,4000,4,9224,1,NA,NA,NA,1,2,1,5,2,2,43,3500
"3192",2,300,4,9235,2,NA,NA,NA,1,0,1,5,2,1,40,5000
"3193",1,9000,4,9236,1,NA,NA,NA,1,0,1,5,2,2,46,4000
"3194",2,290,5,9237,1,NA,NA,NA,1,1,1,5,4,2,40,4000
"3195",2,150,4,9241,1,NA,NA,NA,1,2,1,5,2,2,40,2500
"3196",1,4000,4,9244,2,NA,NA,NA,1,0,1,5,1,1,45,3000
"3197",1,7000,4,9248,2,NA,NA,NA,1,6,1,5,1,1,40,5000
"3198",NA,NA,4,9255,1,NA,NA,NA,NA,NA,NA,6,2,2,NA,3000
"3199",1,2400,5,9257,2,NA,NA,NA,1,2,1,5,2,1,40,2400
"3200",1,2800,5,9258,1,NA,NA,NA,1,5,1,5,4,2,40,3000
"3201",1,5400,4,9262,1,NA,NA,NA,2,1,2,5,4,2,44,4800
"3202",NA,NA,4,9264,2,NA,NA,NA,NA,NA,NA,6,4,1,NA,1800
"3203",1,4000,4,9265,1,NA,NA,NA,1,0,1,5,1,2,40,5000
"3204",1,8500,4,9270,1,NA,NA,NA,1,0,1,5,2,2,40,8000
"3205",2,250,4,9272,1,NA,NA,NA,1,3,1,5,1,2,40,3000
