"id","출생연도","성별","배우자월평균소득_400미만","아이양육자","직업군대분류","고용형태","최종학력","취업유무","조사연도","g115"
"1326",1980,1,0,0,0,1,0,1,2018,7
"1326",1980,1,0,0,0,1,0,1,2019,7
"1326",1980,1,0,0,0,1,0,1,2020,8
"1330",1978,0,1,0,2,1,0,1,2016,3
"1330",1978,0,1,0,2,1,0,1,2017,4
"1330",1978,0,1,0,2,1,0,1,2018,5
"1330",1978,0,0,0,2,1,0,1,2019,7
"1354",1979,1,1,1,0,1,0,1,2016,6
"1360",1985,1,1,1,0,1,0,1,2016,5
"1360",1985,1,1,1,0,1,0,1,2017,6
"1360",1985,1,1,1,0,1,0,1,2018,6
"1360",1985,1,0,1,0,1,0,1,2019,7
"1360",1985,1,1,1,0,1,0,1,2020,6
"1380",1982,0,1,0,1,1,0,1,2016,0
"1380",1982,0,1,0,1,1,0,1,2017,0
"1380",1982,0,1,0,1,1,0,1,2018,0
"1380",1982,0,1,0,1,1,0,1,2019,0
"1380",1982,0,1,0,1,1,0,1,2020,0
"1427",1983,1,0,0,-1,-1,1,0,2016,7
"1427",1983,1,1,0,-1,-1,1,0,2017,6
"1427",1983,1,1,0,-1,-1,1,0,2018,6
"1427",1983,1,1,0,2,2,1,1,2019,6
"1427",1983,1,1,0,-1,-1,1,0,2020,6
"1429",1979,1,1,0,-1,-1,0,0,2016,6
"1429",1979,1,1,0,-1,-1,0,0,2017,6
"1429",1979,1,1,0,-1,-1,0,0,2018,6
"1429",1979,1,0,0,-1,-1,0,0,2019,7
"1432",1985,0,1,0,2,1,0,1,2016,0
"1432",1985,0,1,0,2,2,0,1,2017,0
"1432",1985,0,1,0,2,1,0,1,2018,0
"1432",1985,0,1,0,2,1,0,1,2019,0
"1432",1985,0,1,0,2,1,0,1,2020,3
"1440",1983,1,1,0,0,1,0,1,2016,6
"1440",1983,1,1,0,0,1,0,1,2017,5
"1440",1983,1,1,0,0,1,0,1,2018,5
"1440",1983,1,0,0,0,1,0,1,2019,7
"1440",1983,1,0,0,0,1,0,1,2020,7
"1499",1989,1,1,0,-1,-1,0,0,2016,5
"1499",1989,1,1,0,-1,-1,0,0,2017,6
"1499",1989,1,1,0,-1,-1,0,0,2018,5
"1499",1989,1,1,0,0,1,0,1,2019,6
"1554",1984,0,1,0,2,1,0,1,2016,0
"1554",1984,0,1,0,2,1,0,1,2017,0
"1554",1984,0,1,0,2,1,0,1,2018,0
"1554",1984,0,1,0,2,1,0,1,2019,0
"1554",1984,0,1,0,2,1,0,1,2020,0
"1555",1982,0,1,0,1,1,0,1,2016,0
"1555",1982,0,1,0,1,1,0,1,2017,0
"1555",1982,0,1,0,1,1,0,1,2018,0
"1555",1982,0,1,0,1,1,0,1,2019,0
"1555",1982,0,1,0,1,1,0,1,2020,0
"1577",1983,0,1,0,2,1,1,1,2016,0
"1577",1983,0,1,0,2,1,1,1,2017,0
"1577",1983,0,1,0,2,1,1,1,2018,0
"1577",1983,0,1,0,2,1,1,1,2019,0
"1577",1983,0,1,0,2,1,1,1,2020,0
"1578",1985,1,1,0,-1,-1,0,0,2016,0
"1578",1985,1,1,0,2,2,0,1,2017,5
"1578",1985,1,1,0,-1,-1,0,0,2018,5
"1578",1985,1,1,0,-1,-1,0,0,2019,6
"1578",1985,1,1,0,-1,-1,0,0,2020,5
"1579",1982,1,1,0,-1,-1,0,0,2016,0
"1579",1982,1,1,0,-1,-1,0,0,2017,6
"1579",1982,1,1,0,-1,-1,0,0,2018,6
"1581",1985,1,1,0,-1,-1,1,0,2016,0
"1581",1985,1,1,0,-1,-1,1,0,2017,0
"1581",1985,1,1,0,-1,-1,1,0,2018,6
"1581",1985,1,0,0,-1,-1,1,0,2019,7
"1581",1985,1,0,0,2,1,1,1,2020,8
"1632",1986,1,1,0,2,1,0,1,2016,5
"1632",1986,1,1,0,2,1,0,1,2018,6
"1632",1986,1,1,0,2,1,0,1,2019,6
"1632",1986,1,1,0,2,1,0,1,2020,6
"1672",1981,1,1,1,2,1,1,1,2016,5
"1672",1981,1,1,0,2,1,1,1,2017,6
"1672",1981,1,0,0,2,1,1,1,2018,7
"1672",1981,1,0,0,2,1,1,1,2019,8
"1672",1981,1,0,1,2,1,1,1,2020,8
"1673",1979,0,1,0,1,1,0,1,2016,5
"1673",1979,0,1,0,1,1,0,1,2017,6
"1673",1979,0,0,0,1,1,0,1,2018,7
"1690",1983,0,1,0,2,1,0,1,2016,0
"1690",1983,0,1,0,2,1,0,1,2017,0
"1690",1983,0,1,0,2,1,0,1,2018,0
"1722",1981,0,1,0,0,1,0,1,2016,0
"1722",1981,0,1,0,0,1,0,1,2017,0
"1722",1981,0,1,1,0,1,0,1,2018,4
"1727",1985,0,1,0,0,1,0,1,2016,0
"1727",1985,0,1,0,0,1,0,1,2017,0
"1727",1985,0,1,0,0,1,0,1,2018,0
"1727",1985,0,1,0,0,1,0,1,2019,0
"1727",1985,0,1,0,0,1,0,1,2020,0
"1739",1980,1,1,0,2,1,0,1,2016,5
"1739",1980,1,1,0,2,1,0,1,2017,5
"1739",1980,1,1,0,2,1,0,1,2018,6
"1754",1982,1,1,0,2,1,0,1,2016,5
"1754",1982,1,1,0,2,1,0,1,2018,6
"1754",1982,1,1,0,2,1,0,1,2019,6
"1754",1982,1,0,0,2,1,0,1,2020,7
"1770",1984,1,0,1,2,1,0,1,2016,7
"1770",1984,1,0,1,2,1,0,1,2017,7
"1770",1984,1,0,1,2,1,0,1,2018,7
"1776",1981,1,1,0,2,1,0,1,2016,5
"1781",1982,1,1,0,0,1,0,1,2016,5
